0.17415,0.56889,55
0.57469,0.73723,55
0.73723,2.0143,57
2.3046,2.7458,54
2.7458,4.7949,57
5.0794,5.4451,57
5.4451,5.9675,58
5.9733,6.2171,58
6.2171,6.5248,58
6.5248,6.7744,56
6.7744,7.1401,56
7.1401,7.5871,54
7.9122,8.3592,49
8.3592,8.7133,49
8.7133,9.1777,51
9.1777,9.4505,51
9.4505,9.6073,55
9.6073,10.223,57
10.223,10.913,57
10.919,11.105,59
11.105,11.337,60
11.337,11.587,57
11.587,12.08,57
12.33,12.579,55
12.579,12.812,55
12.812,13.003,57
13.003,13.787,60
13.787,14.025,61
14.025,14.298,56
14.338,14.582,51
14.582,15.076,51
15.534,16.364,48
16.37,17.142,53
17.142,17.351,55
17.357,17.537,55
