1.9505,2.531,66
2.5542,3.0883,66
3.1927,3.4249,63
3.5294,4.1157,68
4.139,4.3537,66
4.4292,4.6846,66
4.6846,5.2884,63
5.7005,6.0256,66
6.0256,6.2172,66
6.31,7.1982,66
7.2911,7.7845,70
7.889,8.0922,70
8.0922,8.2547,69
8.2547,8.4927,69
8.4927,9.0964,68
9.4854,9.793,67
9.8163,10.089,67
10.112,10.704,67
10.791,11.691,69
11.72,12.08,66
12.103,12.388,66
12.388,12.899,65
13.311,13.485,65
13.485,13.903,64
14.031,14.454,68
14.483,14.71,60
14.861,15.401,66
15.401,16.086,63
16.086,16.637,61
17.102,17.334,63
17.409,17.612,63
17.728,18.338,63
18.338,18.605,60
18.71,19.267,65
19.267,19.958,63
19.958,20.573,60
21.032,21.293,63
21.345,22.518,63
22.628,23.191,67
23.191,23.429,66
23.528,23.777,66
23.777,24.404,64
24.787,25.043,64
25.089,25.461,64
25.461,26.041,64
26.059,26.244,66
26.395,26.947,67
26.947,27.655,64
27.655,28.125,62
28.537,29.048,62
29.164,29.716,66
29.756,29.96,58
30.093,30.261,61
30.267,30.587,64
30.732,31.277,62
31.277,31.869,59
32.398,32.874,62
32.996,33.541,66
33.588,33.919,58
34.058,34.447,63
34.586,34.958,61
34.987,35.167,61
35.167,35.765,58
